Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
1,1,Nippani,Kittur,Chikkodi,Belagavi,Chikkodi,Maratha - 29.55%,"Lingayat - 20%
_______________

Lingayat Chaturth - 12%
Lingayat Panchamasali  - 6%
Lingayat Jangama  - 1%
Lingayat Veerashaiva  - 1%","SC - 15.71%
______________

SC  (Left)  - 12.81%
SC  (Others)  - 3.00%",Jain - 9.57%,Others - 9.42%,Smt Shashikala Jolle,BJP,GEN,Lingayat - Adi Banajiga,Uttam Raosaheb Patil,NCP,GEN,Jain,"Total no of Booths - 248
______________
Grade A - 51
Grade B - 16
Grade C - 9
Grade D - 172"
2,2,Chikkodi-Sadalga,Kittur,Chikkodi,Belagavi,Chikkodi,"Lingayat - 30%
_______________

Lingayat Chaturth - 12%
Lingayat Panchamasali - 10%
Lingayat Mali - 6%
Lingayat Jangama - 2%","SC - 15.41%
_______________

SC (Right) - 9.00%
SC (Left) - 4.63%
SC (Others) - 1.78%",Maratha - 13.44%,Kuruba/ Halumatha - 12.68%,Muslim - 10.13%,Ganesh Hukkeri,INC,GEN,Lingayat - Panchamasali,Shri Katti Ramesh Vishwanath,BJP,GEN,Lingayat - Banajiga,"Total no of Booths - 246
______________
Grade A - 90
Grade B - 11
Grade C - 14
Grade D - 131"
3,3,Athani,Kittur,Chikkodi,Belagavi,Chikkodi,"Lingayat - 32%
_______________

Lingayat Panchamasali - 17%
Lingayat Banajiga - 5%
Lingayat Mali - 5%
Lingayat Ganiga - 5%","SC - 14.16%
_______________

SC (Right) - 7.9%
SC (Left) - 4.77%
SC (Others) - 1.49%",Kuruba/ Halumatha - 11.75%,Maratha - 10.49%,Others - 8.91%,Laxman Savadi,INC,GEN,Lingayat - Ganiga,Shri Mahesh Irangouda Kumathalli,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 260
______________
Grade A - 138
Grade B - 14
Grade C - 8
Grade D - 100"
4,4,Kagwad,Kittur,Chikkodi,Belagavi,Chikkodi,"Lingayat - 32%
_______________

Lingayat Panchamasali - 18%
Lingayat Ganiga - 6%
Lingayat Chaturth - 3%
Lingayat Mali - 3%
Lingayat Jangama - 2%",Maratha - 17.22%,"SC - 14.24%
_______________

SC (Right) - 7.32%
SC (Left) - 6.22%
SC (Others) - 1.00%",Kuruba/ Halumatha - 14.12%,Jain - 10.33%,Bharamgouda Kage (Raju Kage),INC,GEN,Lingayat - Panchamasali,Shri Shrimant Balasaheb Patil,BJP,GEN,Maratha,"Total no of Booths - 231
______________
Grade A - 96
Grade B - 14
Grade C - 10
Grade D - 111"
5,5,Kudachi (SC),Kittur,Chikkodi,Belagavi,Chikkodi,"Lingayat - 25%
_______________

Lingayat Panchamasali - 20%
Lingayat Banajiga - 2%
LingayatMali - 2%
Lingayat Veerashaiva - 1%",Kuruba/ Halumatha - 24.91%,"SC - 17.72%
_______________

SC (Right) - 7.86%
SC (Left) - 6.93%
SC (Others) - 2.93%",Muslim - 12.06%,Others - 6.27%,Mahendra Tammannavar,INC,SC,SC - Right,Shri P Rajeev,BJP,SC,Lambani,"Total no of Booths - 219
______________
Grade A - 84
Grade B - 17
Grade C - 6
Grade D - 112"
6,6,Raybag (SC),Kittur,Chikkodi,Belagavi,Chikkodi,"Lingayat - 30%
_______________

Lingayat Panchamasali - 20%
LingayatMali - 5%
Lingayat Banajiga - 3%
Lingayat Lingavantha - 2%",Kuruba/ Halumatha - 21.55%,"SC - 15.55%
_______________

SC (Right) - 8.16%
SC (Left) - 6.02%
SC (Others) - 1.37%",Muslim - 10.04%,Uppara - 7.18%,Shri Duryodhan Aihole,BJP,SC,SC - Left,Shambhu Kallolikar,IND,SC,SC - Right,"Total no of Booths - 232
______________
Grade A - 100
Grade B - 9
Grade C - 9
Grade D - 114"
7,7,Hukkeri,Kittur,Chikkodi,Belagavi,Chikkodi,"Lingayat - 35%
_______________

Lingayat Panchamasali - 30%
LingayatMali - 5%","SC - 16.84%
_______________

SC (Right) - 11.40%
SC (Left) - 4.43%
SC (Others) - 1.00%",Others - 12.94%,Maratha - 12.03%,Muslim - 11.77%,Shri Nikhil Katti,BJP,GEN,Lingayat - Banajiga,AB Patil,INC,GEN,Lingayat - Panchamasali,"Total no of Booths - 224
______________
Grade A - 121
Grade B - 18
Grade C - 3
Grade D - 82"
8,8,Arabhavi,Kittur,Belgaum,Belagavi,Chikkodi,"Lingayat - 25%
_______________

Lingayat Panchamasali - 20%
LingayatMali - 2%
Lingayat Reddy Lingayat - 1%
Lingayat Ganiga - 1%
Lingayat Banajiga - 1%",Kuruba/ Halumatha - 23.04%,Uppara - 16.93%,Others - 11.44%,"SC - 10.11%
_______________

SC (Left) - 6.11%
SC (Right) - 2.00%
SC (Others) - 2.00%",Shri Balachandra Jarkiholi,BJP,ST,Nayaka,Bhimappa Gundappa Gadad,IND,GEN,Lingayat - Panchamasali,"Total no of Booths - 281
______________
Grade A - 172
Grade B - 7
Grade C - 6
Grade D - 96"
9,9,Gokak,Kittur,Belgaum,Belagavi,Chikkodi,"Lingayat - 22.52%
_______________

Lingayat Panchamasali - 20%
Lingayat Veerashaiva - 2.52%",ST Nayaka - 18.15%,Muslim - 14.22%,Kuruba/ Halumatha - 11.97%,Uppara - 10.58%,Shri Ramesh Jarkiholi,BJP,ST,Nayaka,Kadadi Mahantesh Kallappa,INC,GEN,Lingayat - Panchamasali,"Total no of Booths - 290
______________
Grade A - 195
Grade B - 13
Grade C - 10
Grade D - 72"
10,10,Yemkanmardi (ST),Kittur,Chikkodi,Belagavi,Chikkodi,ST Nayaka - 28.23%,Maratha - 22.65%,"Lingayat - 20%
_______________

Lingayat Panchamasali - 16%
Lingayat Others - 4%",Muslim - 7.91%,"SC - 7.87%
_______________

SC (Right) - 3.68%
SC (Left) - 2.37%
SC (Others) - 1.82%",Satish Jarkiholi,INC,ST,Nayaka,Shri Basavaraj Hundri,BJP,ST,Nayaka,"Total no of Booths - 236
______________
Grade A - 74
Grade B - 15
Grade C - 6
Grade D - 141"
